"";"Benin";"Burkina Faso";"Gambia";"Ghana";"Guinea";"Guinea-Bissau";"Ivory Coast";"Liberia";"Mali";"Niger";"Nigeria";"Senegal";"Sierra Leone";"Togo";"n_countries"
"Crepidotus mollis";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"Crepidotus togoensis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Cribraria dictydioides";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cribraria intricata";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cribraria languescens";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cribraria microcarpa";0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"Cribraria minutissima";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Cribraria violacea";0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
"Crinipellis atrovinosa";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Crinipellis beninensis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Crinipellis calderi";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Crinipellis dusenii";0;0;0;1;0;0;0;0;0;0;1;1;0;0;3
"Crinipellis ghanaensis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Crinipellis glaucospora";1;0;0;1;0;0;1;0;0;1;0;1;1;0;6
"Crinipellis minutula";0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
"Crinipellis ochracea";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Crinipellis palmarum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Crinipellis pseudosplachnoides";0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
"Crinipellis pseudostipitaria";1;0;0;1;1;0;0;0;0;0;1;0;0;1;5
"Crinipellis rubiginosa";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Crinipellis scabella";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Cristelloporia dimitica";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cronartium antidesmae-dioicae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Crossopsora perscita";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Crossopsora premnae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Cryptandromyces isabellae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Cryptandromyces nigromarginatus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Crypthonia citrina";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Crypthonia palaeotropica";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cryptococcus neoformans";0;1;0;1;0;0;1;0;0;0;1;1;0;0;5
"Cryptomarasmius thwaitesii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cryptothecia candida";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cryptothecia nigeriensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cryptothecia thoroldii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cryptotrichosporon anacardii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cryptovalsa citri";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cunninghamella albida";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cunninghamella echinulata";0;0;0;1;0;0;1;0;0;0;1;0;0;0;3
"Cunninghamella elegans";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Current Name:
Physma byrsaeum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Curvularia affinis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Curvularia andropogonis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia brachyspora";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Curvularia cymbopogonis";0;1;1;1;0;0;0;0;0;0;1;0;1;1;6
"Curvularia deightonii";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"Curvularia eragrostidis";0;1;0;1;1;0;1;0;0;0;1;0;1;0;6
"Curvularia fallax";0;0;1;0;0;0;0;0;0;0;0;0;1;0;2
"Curvularia hawaiiensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia intermedia";0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"Curvularia lunata";1;1;1;1;1;0;1;0;1;1;1;1;1;1;12
"Curvularia neergaardii";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Curvularia nodulosa";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"Curvularia oryzae";0;1;0;0;1;0;0;0;0;0;0;0;1;0;3
"Curvularia pallescens";0;1;0;1;1;0;0;1;0;0;1;0;1;1;7
"Curvularia penniseti";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia ravenelii";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Curvularia senegalensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia spicifera";0;1;0;0;0;0;0;0;0;0;1;0;0;0;2
"Curvularia stapeliae";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia trifolii";0;1;0;1;0;0;0;0;0;0;0;0;1;0;3
"Curvularia verrucosa";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Curvularia verruculosa";0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
"Cyathus crispus";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cyathus intermedius";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cyathus limbatus";1;0;0;1;0;0;0;0;0;0;1;0;1;0;4
"Cyathus poeppigii";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Cyathus striatus";1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"Cyathus sulcatus";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Cyberlindnera subsufficiens";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Cyclographina pervarians";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Cylindrocarpon lichenicola";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cylindrocarpon macrosporum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Cylindrocephalum coprophilum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cylindrocephalum stellatum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cylindrosporium kilimandscharicum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cymatoderma africanum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Cymatoderma caperatum";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Cymatoderma dendriticum";0;0;0;1;1;0;0;0;0;0;1;0;0;0;3
"Cymatoderma elegans";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cyphella fulvodisca";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cystobasidium slooffiae";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Cystoderma carcharias";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cystolepiota luteohemisphaerica";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Cytosphaera mangiferae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Cytospora rhizophorae";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Dacryopinax spathularia";0;0;1;1;0;0;0;0;0;0;1;0;1;0;4
"Dactuliophora elongata";0;0;0;0;0;0;0;0;1;1;1;0;0;0;3
"Dactuliophora harrisiae";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dactuliophora tarrii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dactylaria acanthacearum";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Dactylaria africana";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dactylaria asymmetrica";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dactylaria dioscoreae";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dactylaria obtriangularia";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dactylaria pusilla";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dactylaria sahelensis";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Daedalea quercina";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Daldinia eschscholtzii";1;1;0;1;1;0;1;0;0;0;1;1;1;1;9
"Daloala mardonii";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Davidiella dioscoreicola";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Davidiella spilota";0;0;0;1;0;0;0;0;0;0;1;0;1;0;3
"Deconica montana";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Deconica protea";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Deflexula microspora";0;0;0;0;0;0;0;1;0;0;0;0;0;1;2
"Deflexula subsimplex";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Deightonia rhombispora";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Deightoniella africana";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Deightoniella leonensis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Delortia palmicola";1;0;0;0;0;0;0;0;0;0;1;0;1;0;3
"Dendrodochium coniosporiicola";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dendrodochium parasiticum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dendryphion effusum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dendryphion vinosum";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Dendryphiosphaera taiensis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Denticularia fici";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Denticularia modesta";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dentiscutata erythropus";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Dentiscutata heterogama";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Dentiscutata nigra";1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"Dentiscutata savannicola";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Desmidiospora myrmecophila";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Diacanthodes novoguineensis";0;0;0;0;0;0;1;0;0;0;0;1;0;1;3
"Diachea bulbillosa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Diachea leucopoda";0;0;0;1;0;0;0;1;0;0;1;0;0;0;3
"Diachea radiata";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Diaporthe annonacearum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Diaporthe citri";0;0;0;0;0;0;1;0;1;0;0;1;0;0;3
"Diaporthe heveae";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Diaporthe pterocarpi";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Diatrype caminata";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Diatrypella citricola";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Diatrypella ivorensis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dichomitus citricremeus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dichotomopilus erectus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Dichotomopilus funicola";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictydiaethalium plumbeum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictydium cancellatum var. fuscum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictyoarthrinium africanum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictyoarthrinium quadratum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictyoarthrinium rabaulense";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictyoarthrinium sacchari";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictyoasterina conopharyngiae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictyochaeta ciliata";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dictyochaetopsis elegantissima";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dictyochaetopsis filamentosa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dictyochaetopsis gonytrichodes";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictyochaetopsis intermedia";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dictyocheirospora heptaspora";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictyonella scabra";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dictyonia lophirae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dictyophora phalloidea";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dictyosporium cocophylum";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Dicyma ovalispora";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dicyma ovalispora ";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Dicyma togoensis";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Diderma berkeleyanum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Diderma effusum";0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"Diderma hemisphaericum";0;0;1;0;0;0;0;1;0;0;0;0;0;0;2
"Didymella aerospora";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymella americana";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymella arachidicola";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Didymella glomerata";0;0;1;0;0;0;0;0;0;0;1;1;1;1;5
"Didymella lycopersici";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Didymella macrostoma";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymella oligospora";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Didymella pinodella";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymella pomorum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymium anellus";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Didymium difforme";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Didymium melanospermum";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Didymium minus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Didymium nigripes";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Didymium quitense";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Didymium squamulosum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Didymostilbe capsici";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Didymostilbe macrospora";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Diedickea piptadeniae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dietelia codiaei";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Dimeriella hygrometrica";0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"Dimerina mindanaensis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dimerina patouillardii";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dimerium deightonii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dimerium leonense";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dimerium venturioides";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dimeromyces africanus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dimeromyces sierrae-leonis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dimerosporiella cephalosporii";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Dimidiographa longissima";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Dimorphomyces diastaticus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dimorphomyces pleomorphis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dinemasporium aberrans";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dinemasporium asetulum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dinemasporium bicristatum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dinemasporium fusiforme";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dioicomyces africanus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Dioicomyces anthici";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Diorchidium dalbergiellae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Diorchidium quadrifidum";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Diorchidium tricholaenae";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Diplocarpon rosae";0;0;1;1;0;0;0;0;0;0;1;0;1;0;4
"Diplodia arachidis";0;0;0;0;0;0;1;0;0;0;0;1;0;0;2
"Diplodia coffeicola";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Diplodia rapax";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Diplodia solanicola";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Diplodia zeicola";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Diplotomma thoroldii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dipodascus geotrichum";0;0;0;1;0;0;1;0;0;0;1;0;1;0;4
"Dipodascus ghanensis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Dirina monothalamia";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Dirinaria aegialita";0;0;0;0;0;0;1;0;0;0;1;0;1;0;3
"Dirinaria africana";0;0;0;0;1;0;1;0;0;0;1;0;0;0;3
"Dirinaria applanata";0;0;1;0;0;0;1;0;0;0;0;1;0;0;3
"Dirinaria applanata var. endochroma";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Dirinaria aspera";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Dirinaria confluens";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Dirinaria consimilis";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Dirinaria isidiophora";0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"Dirinaria leopoldii";0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"Dirinaria palmarum";0;0;0;0;0;0;1;0;0;0;1;0;0;0;2
"Dirinaria picta";0;0;1;0;1;0;1;0;0;0;0;0;1;0;4
"Dirinaria singularis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Discella cacaoicola";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Disciseda minima";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Distocercospora pachyderma";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Distocercosporaster dioscoreae";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Distomycovellosiella brachycarpa";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Distoseptispora martinii";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Diversispora eburnea ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Diversispora epigaea";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dolichousnea trichodeoides";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Doliomyces senegalensis";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Domingoella asterinarum";0;0;0;1;0;0;0;0;0;0;1;0;1;1;4
"Domingoella deightonii";0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
"Dominikia aurea";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Donkioporia expansa";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Dothidella eriosemae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Dothiorella arachidis";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Dothiorella botrya";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Dothiorella sisalanae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Drechslera ellisii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Drechslera mediocris";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Duportella schomburgkii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Duportella tristicula";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Dussiella tuberiformis";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Dyplolabia afzelii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Earliella scabrosa";1;0;0;1;1;0;0;0;0;0;1;0;1;1;6
"Eballistra oryzae";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Echidnodes cocoes";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Echinochaete brachypora";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Echinoplaca diffluens";0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"Echinoplaca epiphylla";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Echinoplaca hymenula";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Echinoplaca intercedens";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Echinoplaca leucotrichoides";0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"Echinoplaca pellicula";0;0;0;0;1;0;1;0;0;0;1;0;0;0;3
"Echinostelium minutum";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Effetia craspedoconidica";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Eichleriella shearii";0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"Elateraecium callianthum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ellisembia bambusae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ellisembia bambusicola";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Ellisembia brachypus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ellisembia crassispora";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Ellisembia dioscoreae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Ellisembia leonensis";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Ellisembia leptospora";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ellisembia pseudoseptata";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ellisiopsis occulta";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Ellismarsporium hypselodelphyos";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Elsinoe baphiae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe basellae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe canavaliae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Elsinoe crossopterygis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe fawcettii";0;0;0;1;0;0;0;0;0;0;1;0;1;0;3
"Elsinoe ivorensis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe mangiferae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe mulleri";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe perseae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Elsinoe piperis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Elsinoe rhigiocaryae";0;0;0;1;0;0;1;0;0;0;0;0;1;0;3
"Elsinoe salaciae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Elsinoe sidae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Enarthromyces indicus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Encoelia deightonii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Encoelia russa";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Endocalyx melanoxanthus";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Endocalyx thwaitesii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Endophragmiella albiziae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Endophragmiella biconstituta";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Endophragmiella leonensis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Endophylloides guineensis";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Endophyllum cassiae";0;0;0;1;1;0;1;0;0;0;1;0;1;0;5
"Endophyllum formosanum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Enerthenema papillatum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Enerthidium canarii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Englerula leonensis";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Englerula xanthina";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Englerulella ugandensis";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Engyodontium geniculatum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Enteridium rozeanum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Enterobryus adjanohounii";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus isoporostrepti";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus onychostrepti";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus oxidi";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus oxydesmi";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus peridontopygei";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Enterobryus tuzetae";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Entoloma afrum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Entoloma alboroseum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Entoloma angustisporum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma applanatum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma aprile";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Entoloma aripoanum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma brunneoloroseum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma caesiomurinum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma callidermum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma candicans";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma capitatum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma chloroconum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma chlorospilum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma cinereovirens";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Entoloma clavipilum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma coeleste";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma conferendum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Entoloma curtissimum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma cyathus";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Entoloma decurrentius";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
